# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 19/21
# table_index, 18
# report_year, 2025
# title, .按不同类型披露公司主营业务构成
# title_level, 5
# unit, 元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 13
# col_count, 7
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
划分类型,营业收入,同比(%),营业成本,同比(%),毛利率(%),同比(%)
按产品档次,,,,,,
茅台酒,"146,499,906,480.49",0.39,"9,484,757,825.54",9.50,93.53,-0.53
其他系列酒,"22,274,678,707.16",-9.76,"5,321,142,314.05",7.11,76.11,-3.76
小计,"168,774,585,187.65",-1.08,"14,805,900,139.59",8.63,91.23,-0.78
按销售渠道,,,,,,
批发代理,"84,231,553,333.02",-12.05,"10,226,331,441.18",0.89,87.86,-1.56
直销,"84,543,031,854.63",12.96,"4,579,568,698.41",31.07,94.58,-0.75
小计,"168,774,585,187.65",-1.08,"14,805,900,139.59",8.63,91.23,-0.78
按地区分部,,,,,,
国内,"163,924,442,864.97",-0.91,"14,402,942,526.84",8.89,91.21,-0.79
国外,"4,850,142,322.68",-6.52,"402,957,612.75",-0.04,91.69,-0.54
小计,"168,774,585,187.65",-1.08,"14,805,900,139.59",8.63,91.23,-0.78

